,claim,claim_veracity
0,People should NOT wear masks while exercising,1
1,The likelihood of shoes spreading COVID-19 is very low,1
2,The coronavirus disease (COVID-19) is caused by a virus NOT by bacteria,1
3,The prolonged use of medical masks* when properly worn DOES NOT cause CO2 intoxication nor oxygen deficiency,1
4,Most people who get COVID-19 recover from it,1
5,Drinking alcohol does not protect you against COVID-19 and can be dangerous,1
6,Thermal scanners CANNOT detect COVID-19,1
7,There are currently no drugs licensed for the treatment or prevention of COVID-19,1
8,Adding pepper to your soup or other meals DOES NOT prevent or cure COVID-19,1
9,COVID-19 is NOT transmitted through houseflies,1
10,Spraying and introducing bleach or another disinfectant into your body WILL NOT protect you against COVID-19 and can be dangerous,1
11,Drinking methanol ethanol or bleach DOES NOT prevent or cure COVID-19 and can be extremely dangerous,1
12,What areas should be prioritized for disinfection in non-health care settings?,1
13,Which surface disinfectants are effective against COVID-19 in non-health care setting environments?,1
14,What protection measures should people take when using disinfectants?,1
15,What is the guidance for the disinfection of outdoor spaces such as open markets roads?,1
16,Are public systems for disinfecting individuals such as spraying via tunnel or chambers safe to use?,1
17,What are the recommended practices once back home after outdoor activities?,1
18,Are gloves recommended for the community in public spaces to protect against COVID-19 for example when going to the grocery store supermarket?,1
19,How should I clean food items from the grocery store for example fruit vegetables or packaged items?,1
20,What is serology?,1
21,What is the difference between molecular testing and serologic testing?,1
22,Does the presence of antibodies mean that a person is immune?,1
23,How is WHO using serology as part of its response?,1
24,What are the expected results from serologic studies?,1
25,When can we expect results?,1
26,What are the limitations of serology for a novel pathogen?,1
27,What are the results of seroepidemiology studies?,1
28,What do these results mean?,1
29,What is herd immunity?,1
30,What is an immunity passport or a risk-free certificate and what is WHOs view of this?,1
31,What is WHOs view on masks?,1
32,Does WHO advise the use of non-medical fabric masks in the general public?,1
33,What is WHO recommending to countries that are considering the use of masks for the general public?,1
34,What types of masks are used against the spread of COVID-19?,1
35,Which individuals should wear medical masks in the context of COVID-19 according to WHO?,1
36,How should I use and wear a medical mask?,1
37,Does WHO recommend the use of fabric masks for the general public?,1
38,Since there are many types of fabric masks available does WHO have any guidance on which masks to use?,1
39,How should I wear and care for a fabric mask?,1
40,Does WHO recommend the use of gloves in the community to prevent transmission of COVID-19?,1
41,What are the key measures all people should do to protect themselves and others in the context of the COVID-19 pandemic?,1
42,Who is at risk of developing severe disease?,1
43,Is there a vaccine drug or treatment for COVID-19?,1
44,What can I do to prevent infection?,1
45,What can older people do to prepare for COVID-19 in their community?,1
46,How can I keep healthy on a daily basis during the COVID-19 pandemic?,1
47,What should I do if I have symptoms of COVID-19?,1
48,I have recently lost someone I care about. What advice do you have to help me cope?,1
49,Can adolescents catch COVID-19?,1
50,Can adolescents spread COVID-19 to other people even if they have mild or no symptoms?,1
51,Since there are few known cases of adolescents getting seriously ill with COVID-19 should I go to a health facility if I develop symptoms of the disease?,1
52,What should I do if someone in my family gets really ill with COVID-19?,1
53,I am on medication for a chronic health condition. Should I change anything?,1
54,I was due to get vaccinated for HPV meningitis or tetanus but immunization services have been disrupted. Should I be concerned?,1
