,fact_check_url,news_url,title
100166,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,People should NOT wear masks while exercising
100167,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,The likelihood of shoes spreading COVID-19 is very low
100168,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,The coronavirus disease (COVID-19) is caused by a virus NOT by bacteria
100169,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,The prolonged use of medical masks* when properly worn DOES NOT cause CO2 intoxication nor oxygen deficiency
100170,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,Most people who get COVID-19 recover from it
100171,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,Drinking alcohol does not protect you against COVID-19 and can be dangerous
100172,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,Thermal scanners CANNOT detect COVID-19
100173,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,There are currently no drugs licensed for the treatment or prevention of COVID-19
100174,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,Adding pepper to your soup or other meals DOES NOT prevent or cure COVID-19
100175,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,COVID-19 is NOT transmitted through houseflies
100176,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,Spraying and introducing bleach or another disinfectant into your body WILL NOT protect you against COVID-19 and can be dangerous
100177,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters,Drinking methanol ethanol or bleach DOES NOT prevent or cure COVID-19 and can be extremely dangerous
100178,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-considerations-for-the-cleaning-and-disinfection-of-environmental-surfaces-in-the-context-of-covid-19-in-non-health-care-settings,What areas should be prioritized for disinfection in non-health care settings?
100179,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-considerations-for-the-cleaning-and-disinfection-of-environmental-surfaces-in-the-context-of-covid-19-in-non-health-care-settings,Which surface disinfectants are effective against COVID-19 in non-health care setting environments?
100180,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-considerations-for-the-cleaning-and-disinfection-of-environmental-surfaces-in-the-context-of-covid-19-in-non-health-care-settings,What protection measures should people take when using disinfectants?
100181,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-considerations-for-the-cleaning-and-disinfection-of-environmental-surfaces-in-the-context-of-covid-19-in-non-health-care-settings,What is the guidance for the disinfection of outdoor spaces such as open markets roads?
100182,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-considerations-for-the-cleaning-and-disinfection-of-environmental-surfaces-in-the-context-of-covid-19-in-non-health-care-settings,Are public systems for disinfecting individuals such as spraying via tunnel or chambers safe to use?
100183,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-considerations-for-the-cleaning-and-disinfection-of-environmental-surfaces-in-the-context-of-covid-19-in-non-health-care-settings,What are the recommended practices once back home after outdoor activities?
100184,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-considerations-for-the-cleaning-and-disinfection-of-environmental-surfaces-in-the-context-of-covid-19-in-non-health-care-settings,Are gloves recommended for the community in public spaces to protect against COVID-19 for example when going to the grocery store supermarket?
100185,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-considerations-for-the-cleaning-and-disinfection-of-environmental-surfaces-in-the-context-of-covid-19-in-non-health-care-settings,How should I clean food items from the grocery store for example fruit vegetables or packaged items?
100186,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-serology-and-covid-19,What is serology?
100187,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-serology-and-covid-20,What is the difference between molecular testing and serologic testing?
100188,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-serology-and-covid-21,Does the presence of antibodies mean that a person is immune?
100189,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-serology-and-covid-22,How is WHO using serology as part of its response?
100190,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-serology-and-covid-23,What are the expected results from serologic studies?
100191,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-serology-and-covid-24,When can we expect results?
100192,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-serology-and-covid-25,What are the limitations of serology for a novel pathogen?
100193,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-serology-and-covid-26,What are the results of seroepidemiology studies?
100194,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-serology-and-covid-27,What do these results mean?
100195,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-serology-and-covid-28,What is herd immunity?
100196,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-serology-and-covid-29,What is an immunity passport or a risk-free certificate and what is WHO’s view of this?
100197,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-on-covid-19-and-masks,What is WHO’s view on masks?
100198,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-on-covid-19-and-masks,Does WHO advise the use of non-medical fabric masks in the general public?
100199,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-on-covid-19-and-masks,What is WHO recommending to countries that are considering the use of masks for the general public?
100200,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-on-covid-19-and-masks,What types of masks are used against the spread of COVID-19?
100201,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-on-covid-19-and-masks,Which individuals should wear medical masks in the context of COVID-19 according to WHO?
100202,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-on-covid-19-and-masks,How should I use and wear a medical mask?
100203,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-on-covid-19-and-masks,Does WHO recommend the use of fabric masks for the general public?
100204,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-on-covid-19-and-masks,Since there are many types of fabric masks available does WHO have any guidance on which masks to use?
100205,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-on-covid-19-and-masks,How should I wear and care for a fabric mask?
100206,who.int,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/q-a-on-covid-19-and-masks,Does WHO recommend the use of gloves in the community to prevent transmission of COVID-19?
