,claim,claim_veracity
0,The CDC currently reports 99031 deaths. In general the discrepancies in death counts between different sources are small and explicable. The death toll stands at roughly 100000 people today.,1
1,States reported 1121 deaths a small rise from last Tuesday. Southern states reported 640 of those deaths.,1
2,Politically Correct Woman (Almost) Uses Pandemic as Excuse Not to Reuse Plastic Bag,0
4,Populous states can generate large case counts but if you look at the new cases per million today 9 smaller states are showing more cases per million than California or Texas: AL AR ID KS KY LA MS NV and SC.,1
5,"Covid Act Now found ""on average each person in Illinois with COVID-19 is infecting 1.11 other people. Data shows that the infection growth rate has declined over time this factors in the stay-at-home order and other restrictions put in place.""",1
6,If you tested positive for COVID-19 and have no symptoms stay home and away from other people.,1
7,Obama Calls Trumps Coronavirus Response A Chaotic Disaster,0
8,"Clearly, the Obama administration did not leave any kind of game plan for something like this.",0
9,RetractionHydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19: a multinational registry analysis - The Lancet,0
10,Take simple daily precautions to help prevent the spread of respiratory illnesses like COVID19.,1
11,The NBA is poised to restart this month. In March we reported on how the Utah Jazz got 58 coronavirus tests in a matter of hours at a time when U.S. testing was sluggish.,0
12,We just announced that the first participants in each age cohort have been dosed in the Phase 2 study of our mRNA vaccine (mRNA-1273) against novel coronavirus.,1
14,Protect yourself and others from COVID-19 when using public transportation. Practice social distancing avoid touching surfaces and practice hand hygiene.,1
18,We just announced that we have shipped vials of mRNA-1273 the Companys vaccine against the novel coronavirus to the NIH to be used in the planned Phase 1 study in the U.S.,1
19,Multiple Facebook posts claim that Aussies will be fined if they are found to be talking about conspiracies to do with [COVID-19]. The posts included a screenshot of a segment from an Australian breakfast television show as evidence for the claim.,0
20,"No Nobel Prize laureate Tasuku Honjo didn't say the coronavirus is ""not natural"" as a post on Facebook claims. In fact Professor Honjo said he's ""greatly saddened"" his name was used to spread misinformation. This and more in the latest",0
21,The NZ COVID Tracker app will remain important and useful at Alert level 1. People are encouraged to download the app or a similar one or keep a record of where youre going to be.,1
22,BREAKING NEWS The president Cryill Ramaphosa has asked all foreign nations to depart south Africa before 21 june 2020 due to increasing cases of COVID 19 .,0
23,We are delighted that 78 high- and upper-middle countries and economies have now confirmed they will participate in the COVAX Facility and the number is growing. I urge those who have not yet joined to do so by the 18th of,1
24,Very intriguing possibility that mood changes and anxiety may be a function of invasion of the coronavirus into the CNS and brain.,1
25,Elon Musck To New Baby. Get A Job Kid!,0
26,A new alcohol-free sanitizer has been developed by the Dedan Kimathi University in Kenya.,0
27,Just Appendix B gathering all the state orders on testing was a huge chunk of work. Same goes for Appendix D an evaluation of the accessibility of the CDC's Data Tracker.,1
28,Yesterday our laboratories completed 2899 tests of those 726 were testing of people in managed isolation and quarantine for the routine testing on either days 3 or 12 of their stay. That brings the total number of tests completed to date to 436233.,1
29,Reusing N95 masks? NIH found vaporized hydrogen peroxide UV light and heat to be effective sanitizers.,1
31,Doctored image of President Donald Trump shared claiming he asked people to chant Hare Krishna Hare Rama.,0
33,CDC Recommends Mothers Stop Breastfeeding To Boost Vaccine Efficacy,0
