,claim,claim_veracity
0,"On the ballot: two clashing visions of how America will power its cars, homes",1
1,Democrats urge FCC to drop plan to revise TV ownership rules,1
2,Anti-elite Slovene presidential candidate seen running for parliament after narrow loss,1
3,Clinton targets young voters with new fundraising group,1
4, ky dem house speaker makes insane speech following crushing defeat in gov race ,0
5, Jim Vejvoda’s HILARIOUS Scalia Tweet Is Nothing Short Of PERFECT ,0
6, BREAKING: Trump Tops Off INSANE Weekend By Announcing A New Muslim Ban,0
7,Nobel laureate Vargas Llosa calls Trump a 'clown and a racist',1
8,Russia likely to reduce forces in Syria before year-end -general,1
9,"Trump congratulates Merkel on election win, discusses Iran: White House",1
10,"Togo security forces clash with protesters in north, boy killed",1
11, These Panties Let You Protest Anti-Choice Republicans In The Most HILARIOUS Way ,0
12,"Striking French workers disrupt flights, schools",1
13,Russia sets out why it thinks U.N. wrongly accused Syria over sarin attack,1
14,Twitter Users ANNIHILATE Donald Trump For Confusing 9/11 With A Convenience Store,0
15,Trump refers to a 'Pocahontas' in Congress at meeting with veterans,1
16,"Gunfire heard in Eritrea's capital as protests break out, U.S. embassy says",1
17,Saudi anti-graft detainees will get due process: Saudi U.N. envoy,1
18,Assange: ‘Trump in Conflict with CIA Over Syria Policy’,0
19,Australian citizenship crisis deepens as eighth lawmaker falls,1
20,"Lebanon ex-PM meets French, UK, EU, U.S. diplomats in Riyadh: PM's office",1
21,"House panel seeking more testimony from FBI, NSA chiefs in Russia probe",1
22,"FLASHBACK: BERNIE SANDERS’ Socialist Democrat Party Asks, “Why Not Peace With Hitler?” ",0
23,U.S. Customs give airlines green light to board all visa-holders after Seattle ruling,1
24,"Game over for 'discredited' Catalan referendum, Spanish officials say",1
25,Spain and Morocco arrest six suspected of practicing beheadings,1
26, ICYMI: SNL Skewers “Morning Joe” And It Is Hilarious,0
27,Kerry speaks with Russian counterpart ahead of Moscow visit,1
28,Sanders not ending campaign in Thursday's video speech: spokesman,1
29, You Won’t Believe What GOP Lead Poisoning Truthers Just Said About The Flint Water Crisis ,0
30,"For Obama, setbacks from a divided Supreme Court",1
31,Australian yachtsman dies after Philippine fishermen rescue three adrift for days,1
32,"OBAMA IS HIDING CRIMINAL Records Of 86,000 ILLEGAL ALIENS Who Continue To Walk Streets In Cities, Small Communities Across America",0
33,Austria's conservatives want schools to make 'sufficient' German compulsory,1
34,"With 'America First,' Trump mutes U.S. voice on human rights in Asia",1
35,trump finally weighs in on nfl player protests…in a big way! ,0
36, Email ‘Scandal’ Unraveling: Explosive NBC Report Blows Up Major Anti-Hillary Talking Point,0
37,SIX PROMINENT DEMOCRATS WHO CALLED FOR VIOLENCE Against Americans That Don’t Agree With Their Politics ,0
38,"The Final Control: TPP, TTIP, TISA Global Corporate Takeover",0
39,"U.S. carrier drills with Japanese navy around Okinawa, southwest of Korean peninsula",1
40,Kushner stresses Trump's Mideast peace optimism but details scant,1
41, New York Times Reporter Tells Of Horribly Degrading Insults Trump Hurled At Her In Sexist Rage,0
42, major u.s. supreme court abortion rights cases,1
43, China Drone Drama Was Over Before Trump’s First Tweet – If He Got Intel Briefings He’d Have Known It,0
44,"IT BEGINS: ANTHONY SCARAMUCCI FIRES Suspected Leaker, Anti-Trumper With Ties To Reince Priebus",0
45, Germany’s President Joins Chancellor Merkel In Sharp Criticism Of ‘Irritating’ Trump,0
46,Iraq to resume payments of Gulf War reparations to Kuwait: U.N.,1
47," Texas Moving To Ban Jews, Muslims, and Gays from Adopting",0
48,U.S. Treasury dashes hopes for near-term World Bank capital hike,1
49,"As Trump warned North Korea, his 'armada' was headed toward Australia",1
50,Obama says U.N. vote didn't rupture U.S.-Israel relations,1
51,Macau billionaire's aide in plea talks in U.N. bribe case,1
52, Paul Ryan Takes A Monumentally HUMILIATING Photo With A Constituent Who EXPERTLY Trolled Him ,0
53," Patton Oswalt Dedicates ‘National Poetry Day’ To Donald Trump, And It’s Perfect ",0
54,"Chaos, anger as Trump order halts some Muslim immigrants",1
55, Neil DeGrasse Tyson SCHOOLS Rapper B.O.B Over Flat Earth Conspiracy ,0
56, Insane David Duke Rant: Trump’s Not Really Racist – It’s Just Wolf Blitzer And The Rest Of The Jews ,0
57,"BREAKING: THIEVES STEAL IRS INFO FROM 100,000 TAXPAYERS",0
58,Hustler Owner Is So Fed Up With Trump That He Is Offering $10 Mill For Dirt To Get Him Impeached,0
59,Texas House approves new voter ID bill after setbacks in court,1
60,"Japan court sentences U.S. base worker to life for rape, murder: NHK",1
61,"Togo forces fire on protesters, seven wounded",1
62,JESSE WATTERS CALLS OUT Liberal Pundit For Racist Assumptions About Trump: “What specifically are you fearful of that Trump will do? ,0
63,Miami hospitals prepare for surge in births during Hurricane Irma,1
64,House Democrats mull Pelosi leadership future,1
65, Trump Hired Flynn After Obama SPECIFICALLY Warned Him Not To – Now Karma Is Coming For Trump. Hard.,0
66,"In rare official appearance, Oman's ruler meets Iranian minister",1
67,U.S. Senate intelligence panel wants to speak to Donald Trump Jr. - NBC,1
68,Thousands more Rohingya flee to border as Myanmar violence flares,1
69,"Top U.S. diplomat, security chief to visit Mexico Wednesday",1
70,Turkish police briefly detain academic in Kurdish militant probe: agency,1
71,"Before Putin talks, Trump plays down interference in U.S. election",1
72,Trump tells Abbas intends to move embassy to Jerusalem: Abbas spokesman,1
73,U.N. assisting thousands of migrants in Libyan smuggling hub,1
74,U.S. doesn't want to be 'handcuffed' to Ukraine agreement,1
75, The Star Trek Franchise Mobilizes Against Donald Trump For A Brighter Future,0
76,Somalia's Islamist insurgency executes four men accused of spying,1
77,Catalan secessionists mull snap election as Madrid hangs tough,1
78,CLASSIC! TRUMP Hints At Sheriff Joe Pardon: “I’ll make a prediction. I think he’s going to be just fine.” ,0
79,"DISGUSTING! SEATTLE MAYOR WHO Announced He’s Suing Trump Over Sanctuary City Exec Order Is Accused Of Raping 15-Yr Old Boy, Two Others",0
80,Bob Geldof calls Aung San Suu Kyi 'handmaiden to genocide',1
81,White House says Iran's progress on nuclear deal must be verified,1
82,AS TRUMP’S POPULARITY SOARS ABROAD…Village In India Renames Itself “Trump” ,0
83,India ruling party pulls ahead in election in Modi state after tight race,1
84,AWESOME! President Trump Gives Fatherly Advice About ‘The Road of Life’ to UCLA Basketball Players,0
85,Thai PM says 'don't worry' about U.S. trade policy yet,1
86,Contrasting realities in Libya for French minister's visit,1
87," MAJOR Ad Vendor Bans Breitbart For Hate Speech, Trump LIVID",0
88,Former CIA director worried Russia tried to recruit Americans,1
89,"Jump in Florida, Nevada early voting could reap Latino gains for Clinton",1
90, ethics expert busts kellyanne conway for breaking rules by shilling for ivanka trump’s business,0
91,TOP POLLSTER: Trump Could Create Permanent Majority…Change Politics As We Know It ,0
92,AFGHAN INTERPRETER FOR US MURDERED BY TALIBAN WHILE WAITING 4 YRS FOR PROMISED VISA,0
93, Ted Cruz Gets Confronted By A Furious Trump Supporter And It Doesn’t Go Well ,0
94,FBI Arrest Cliven Bundy at Portland Airport – Charged with Federal Conspiracy,0
95,U.S. visas issued to citizens of Trump travel ban nations continue to decline,1
96, This Woman And Her Sign Show Us Everything You Need To Know About Trump’s Black Support ,0
97,"U.S. bombers, fighter jets in bombing drill over Korean peninsula: South Korea",1
98,Trump adviser Bannon says U.S. in economic war with China: media,1
99,SOCIALIST Bernie Sanders Asks Trump’s Pick For Education Sec If She’ll Agree To FREE College…Gets Embarrassing Public SMACK DOWN ,0
100,Kosovo says 'false' arrest warrant for PM undermines dialogue with Serbia,1
101,Egypt security forces kill nine suspected militants in raid: ministry,1
102,"Weak columns, extra floors led to Mexico school collapse, experts say",1
103,Russia says U.S. military in Baltic contradicts Russia-NATO agreement: RIA,1
104,"Exclusive: Presidential hopefuls Sanders, Clinton in dead heat - Reuters/Ipsos poll",1
105,Senate Democrats seek probes of administration's secret messaging,1
106,Catalan leader accuses Spain of 'unjustified violence' in referendum crackdown,1
107,Twelve killed in Mexico violence between suspected fuel thieves,1
108,New Zealand Labour leader says no immediate talks with likely election kingmaker,1
109, News Legend Dan Rather Just RAZED Trump’s Hate-Filled Immigration Speech,0
110,Bill to cloak U.S. 'dark money' seen as harmful to charity fraud fight,1
111,House approves $622 million to combat Zika virus,1
112,Mexico president leads government response in quake zone,1
113,ROY MOORE WITCH HUNT UNRAVELLING: More Witnesses Step Forward To Refute Story Of Latest Roy Moore Accuser…OUCH!,0
114,COLLEGES ENLISTING “Bias Response Teams” To Snitch On Each Other For…”Offensive” Speech ,0
115,GAY MAFIA STRIKES AGAIN: Denver City Council Goes After Chick-Fil-A,0
116,Exclusive: Congress asks U.S. agencies for Kaspersky Lab cyber documents,1
117,HOMELAND SECURITY Catering to Illegals? Three Squares Provided to Detainees on Taxpayer Dime,0
118,SHOCKER! CNN POLITICAL DIRECTOR On Trump’s First 50 Days: ‘The business community could not be more enthusiastic’,0
119,KRISPY KREME Worker REFUSES To Serve Cop: ” I don’t do the POlice”,0
120,Support for Brazil's pension reform more organized: lawmaker,1
121,"Chaffetz Calls 9-Year-Old Girl Who OWNED Him At Town Hall A ‘Paid’ Protester, Vows NEVER To Investigate Trump",0
122, Bernie Sanders Admits To Smoking Weed And Stephen Colbert Loves Him For It ,0
123,"“HARRY, HARRY!” Crowd Yells Military Hero’s Name During President Trump’s Incredible Speech to Veterans ",0
124,Mali's regional elections delayed by security concerns,1
125,EU's diplomatic back channel in Pyongyang goes cold,1
126, Trump Had THIS Black Republican Removed From A Campaign Event,0
127, Trump Insists He Would Still Beat Hillary In The Popular Vote Even Though He Lost By A Landslide,0
128, Iran Proves Republicans Are Full Of Crap As United Nations Says Nuclear Deal Has Been Honored,0
129,OOPS! ABSOLUTELY NO ONE SHOWED UP For NYC Debut Of Beyonce’s Clothing Line…Is Her RADICAL Super Bowl Performance To Blame?,0
130, Conservative Columnist Tries To Declare War On Iran On Behalf Of America,0
131,Trump tweet not meant to confirm he is under investigation: source,1
132,"MUSLIM MEN WIN BIG DISCRIMINATION SUIT Against Employer For Violating Religious Beliefs, While Nuns, Christian Bakers And City Clerks All Lose Cases",0
133, Women’s March Now One Of The Most Peaceful Demonstrations In American History,0
134,U.S. House members ask EPA not to lower biofuels requirements,1
135,What if 20 Million Illegal Aliens Vacated America?,0
136,Argentine mid-term campaign pauses after body found in Patagonia,1
137,Mattis says U.S. will work to stay aligned with Turkey despite diplomatic tensions,1
138,'Big Six' member says tax reform blueprint to follow Senate hearings,1
139,BREAKING DISCOVERY: CLINTON FOUNDATION SHARED EMAIL SERVER LOCATION WITH HILLARY’S SECRET SERVER,0
140, Trump Has Total UNHINGED Scatter-Brained Mental Meltdown For The Entire World To See,0
141,Iraqi PM Rebuffs U.S. Decree That ‘Foreign Shia Militias’ Should Leave Country,0
142,U.S. Senate panel to vote Tuesday on Powell nomination to lead Fed,1
143,James Comey’s Legacy: Blaming Russia Rather Than Saudi Arabia And Israel,0
144, A Growing Coalition Of Electors Is Working Feverishly To Stop Trump,0
145,Turkey detains 100 Islamic State suspects: Anadolu agency,1
146,Philippines frees four East Timorese to attend ASEAN meeting,1
147, Trump Takes His Voter Fraud Conspiracy To A TERRIFYING New Level,0
148," Obama Girls Are Going To Be Bridesmaids, So Conservatives Called Them ‘N*****s’ ",0
149, Ken Burns Explains Donald Trump Mania In Five Perfect Little Words ,0
150, GOP Columnist Bill Kristol Has The Goods On How Republicans REALLY Feel About Comey’s Testimony,0
151,"As Obamacare repeal falters, insurers start to press on subsidies",1
152,Trump calls Green Party vote recount request a 'scam',1
153,Moldova ruling party chief says framed by Russia in bogus cases,1
154,U.S. sticks to global transparency initiative after Congress repeal,1
155,Email leak may hurt Democratic party chair's re-election bid,1
156,U.S. House panel says agreement reached over Fusion GPS bank records,1
157,Africa eyes senior Trump envoy visit for U.S. policy hints,1
158,"‘Affluenza Teen’ Transferred To Adult Court, Faces 10 Years In Prison",0
159,THIS ONE STATEMENT IS THE KEY TO THE 2016 ELECTION: “Everybody better understand this”,0
160, Bill O’Reilly Says Our Economy Will IMPLODE If We Don’t Keep Pushing Poverty,0
161," The World To Trump: F*ck Off, You Did Not ‘Inherit A Mess’ From Obama ",0
162,Senate committee approves Trump intelligence nominee Coats,1
163,Meet The CA Sheriff Who Won’t Be Bullied By Obama And Illegal Immigrant Activists Who Believe The Laws Don’t Apply To Lawbreakers,0
164,Trump and U.S. House tax lawmaker reopen door to 401 changes,1
165,European politicians wary on Republican convention over Trump,1
166,Senate Republican leaders want health bill revised by Friday: Cornyn,1
167,Fears for Lebanese economy if Saudis impose Qatar-style blockade,1
168,Shift in U.S. sanctions could ground Russian rocket engines: general,1
169, Cop’s Convict Daughter DEMANDS Public Service Instead Of Jail For Hate Crime,0
170,"Be careful, murdered Iranian activist's daughter tells European exiles",1
171,Catalan independence campaign kicks off as Barcelona gives backing,1
172,LOL! DEMOCRATS Express Concerns Over Possible Cheating By Democrats In DNC Chair Vote,0
173, Chris Wallace Just Shoved His Foot So Far Up Trump’s Ass It Came Out His Mouth ,0
174, Professor Who Predicted Trump’s Election Has Another Prediction Trump Will HATE ,0
175,U.S. completes 'takedown' of Medicare fraud: officials,1
176,Colombian FARC rebels at ballgame in Cuba attended by Obama,1
177,New U.S. sanctions bill delayed by concern over Iran election,1
178,British Columbia hires investigator to probe money laundering in casinos,1
179, Yet Another Asshole Just Rammed A Bunch Of Protesters With His Car ,0
180, trump campaign manager blames women for rape,0
181,Five Things You Need to Know About CrowdStrike,0
182,"Clintons earned $10.75 million in 2015, paid 34.2 percent federal tax rate",1
183,Germany's Merkel suffers state vote setback as coalition talks loom,1
184,Half of Republicans would reject election result if Clinton wins: Reuters/Ipsos,1
185,UK must produce 'credible' border plan to unlock Brexit talks: Irish PM,1
186,Sweden stops some new aid for Cambodia in protest over crackdown,1
187,"Japanese girl says school forced her to dye hair black, sues government: media",1
188,"North Korea nuclear arsenal too developed to destroy quickly, says Moon",1
189,THREE SHOCKING REASONS WHY Hillary Clinton Is Considered An Abortion EXTREMIST,0
190, Nancy Pelosi Backs BOMBSHELL Legislation That Could Kick Trump Out Of Office ,0
191,"OUCH! Things Take Ugly Turn For MATT LAUER When He Tries To Get George W. Bush To Blame Trump For Division: “When I was President, you mattered a lot more” ",0
192,Pakistan ministry seeks ban on new party backed by prominent Islamist,1
193,SUNDAY SCREENING: PSYWAR ,0
194, Why This Attorney General Is Going After Trump For ‘Fraud’,0
195,More votes than voters in many Detroit precincts: newspaper,1
