,claim,claim_veracity
0,"According to a national survey, transit ridership among people age 16 to 34 increased 40 percent between 2001 and 2009.",0
1,"Gun violence is by far the leading cause of death for young African American men, outstripping the next nine causes of death combined.",1
2,The United States gives $8 million a day to Israel and gives that country a blank check.,1
3,"Through competition as governor, I got agreements to build a nearly $40-billion natural gas pipeline.",0
4,Mt. Hood Community College is No. 1 on average and top faculty pay and benefits.,1
5,It isnt me cutting the budget. Its the Congressdecision on sequestration. So it isnt secretary of defense or the president doing this.,0
6,There is an upcoming vote to preserve benefits of Texas homestead exemption for seniors and the disabled.,0
7,"Bill Gunter would drain millions from local public schools, and give our tax dollars to private, for-profit schools run by out-of-state corporations.",0
8,Gov. Romney's own health care plan in Massachusetts ... requires by law that a representative from Planned Parenthood sit on the MassHealth advisory board.,0
9,"Cass Sunstein, President Obama's nominee for regulatory czar, ""wants to give legal standing to animals so they can sue you for eating meat.""",0
10,"Medical-grade marijuana alonewill not get that patient high, no matter what level of THC, CBD or any other compound is found in the plant.",0
11,"When those restrictions expire (in the Iran nuclear deal), Iran will have an industrial-size military nuclear capability ready to go.",0
12,Saturday Night Live executive producer Lorne Michaels could be put in jail under this amendment for making fun of any politician.,1
13,"[Renewable energy] projects . . . get us off foreign oil and away, step by step, from these foreign entanglements that we have to get into to defend our oil supply.",0
14,"While (Chris Christie) talks about job creation, we dont see jobs being created in this state.",0
15,The proposed transportation tax plan revokes a tax-credit for consumers electric cars while the state retains similar credits for similar vehicles for businesses.,1
16,Reince Priebus Says Wisconsin Gov. Scott Walker in his budget repair bill is showing that no stone goes unturned as he asks everyone to tighten their belts.,0
17,The House of Representatives has never sued a sitting president in all of U.S. history.,1
18,The reason we have a national debt is not because of defense spending. What is driving our long-term debt are Medicare and Social Security programs.,1
19,"President Obama pledged to go through the budget 'line by line,' but on his watch, non-defense spending has spiraled out of control, increasing by 67 percent in the last year alone.",0
20,"For six years, I served our community as a conservative state legislator. In every one of those years, I helped balance the state's budget.",0
21,Employees in workplace freedom states make more money,0
22,"A few months ago when you were asked whats the biggest geopolitical threat facing America, you said Russia.",1
23,Suzanne Bonamici votes with her party a partisan 98 percent of the time.,1
24,The Democrats in the Senate and some members of Congress defended what Fannie and Freddie were doing. They resisted any change.,1
